epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.87603,2.7234,5.31501,4.36903,0,0,0,0,3.37862,5.31783,4.15913,0,0,0
2,3.59037,3.16782,5.5636,4.19802,0,0,0,0,3.37863,5.31868,4.15878,1.17822e-06,1.17822e-06,1.17822e-06
3,4.90276,3.15429,5.86688,4.31285,0,0,0,0,3.37864,5.31798,4.15893,2.33288e-06,2.33288e-06,2.33288e-06
4,5.55792,3.28837,5.53272,4.25224,0,0,0,0,3.37863,5.31868,4.15842,3.46397e-06,3.46397e-06,3.46397e-06
5,6.17804,3.81277,5.64918,4.25638,0,0,0,0,3.37848,5.31896,4.15846,4.5715e-06,4.5715e-06,4.5715e-06
6,6.91254,2.8582,5.51274,4.32266,0,0,0,0,3.37885,5.32017,4.15824,5.65548e-06,5.65548e-06,5.65548e-06
7,7.54206,3.49406,5.59839,4.27944,0,0,0,0,3.37818,5.31954,4.15823,6.71588e-06,6.71588e-06,6.71588e-06
8,8.1962,3.38011,5.43864,4.23527,0,0,0,0,3.37864,5.3207,4.15829,7.75273e-06,7.75273e-06,7.75273e-06
9,8.86337,3.0555,5.54267,4.30117,0,0,0,0,3.37901,5.32118,4.15806,8.76602e-06,8.76602e-06,8.76602e-06
10,9.59649,3.29453,5.41426,4.35322,0,0,0,0,3.37901,5.32118,4.15808,9.75574e-06,9.75574e-06,9.75574e-06
11,10.2707,3.06411,5.57078,4.29018,0,0,0,0,3.37891,5.32064,4.15792,1.07219e-05,1.07219e-05,1.07219e-05
12,11.0211,3.03984,5.52025,4.24217,0,0,0,0,3.38083,5.32081,4.15816,1.16645e-05,1.16645e-05,1.16645e-05
13,11.7531,3.31688,5.43311,4.24239,0,0,0,0,3.38287,5.3234,4.15799,1.25835e-05,1.25835e-05,1.25835e-05
14,12.4187,2.90743,5.73476,4.18844,0,0,0,0,3.38289,5.31932,4.15769,1.3479e-05,1.3479e-05,1.3479e-05
15,13.1087,3.3441,5.42354,4.20274,0,0,0,0,3.38265,5.3199,4.15766,1.43509e-05,1.43509e-05,1.43509e-05
16,13.8413,3.32255,5.48624,4.22125,0,0,0,0,3.38274,5.31946,4.15782,1.51993e-05,1.51993e-05,1.51993e-05
17,14.551,3.10534,5.4134,4.37945,0,0,0,0,3.38264,5.32059,4.15776,1.60241e-05,1.60241e-05,1.60241e-05
18,15.1983,2.96045,5.88846,4.22733,0,0,0,0,3.38264,5.32059,4.15776,1.68253e-05,1.68253e-05,1.68253e-05
19,15.8646,2.76857,5.54818,4.26358,0,0,0,0,3.3829,5.32052,4.15764,1.7603e-05,1.7603e-05,1.7603e-05
20,16.5486,2.82542,5.75836,4.3153,0,0,0,0,3.3829,5.32052,4.15764,1.83571e-05,1.83571e-05,1.83571e-05
21,17.2421,3.08854,5.53354,4.27982,0,0,0,0,3.38289,5.32044,4.15733,1.90876e-05,1.90876e-05,1.90876e-05
22,17.9204,3.07273,5.59347,4.25059,0,0,0,0,3.38289,5.32044,4.15733,1.97946e-05,1.97946e-05,1.97946e-05
