epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.89296,1.41571,4.5316,1.02782,0.00243,0.21667,0.00337,0.00166,1.08863,4.08585,0.86071,8.33e-06,8.33e-06,8.33e-06
2,3.90457,1.39631,4.2601,1.05688,0.00629,0.21667,0.00561,0.0024,1.07837,4.0916,0.85607,2.47426e-05,2.47426e-05,2.47426e-05
3,4.85959,1.31888,4.16219,1.08731,0.00814,0.21667,0.00659,0.00263,1.07577,4.08981,0.84864,4.08253e-05,4.08253e-05,4.08253e-05
4,6.07489,1.34121,4.07731,1.07588,0.00052,0.2,0.00096,0.00046,1.08364,4.08658,0.84748,5.65782e-05,5.65782e-05,5.65782e-05
5,6.92529,1.34312,4.11664,1.04724,0.00151,0.4,0.00332,0.00087,1.12505,4.05726,0.84208,7.20012e-05,7.20012e-05,7.20012e-05
6,7.8493,1.37716,3.96556,1.06146,0.01814,0.41667,0.01251,0.00714,1.16907,4.04685,0.83855,8.70943e-05,8.70943e-05,8.70943e-05
7,8.76186,1.35163,3.90172,0.99662,0.01689,0.43333,0.02806,0.01213,1.15209,4.03809,0.82879,0.000101858,0.000101858,0.000101858
8,9.57731,1.19525,3.59052,0.99504,0.01325,0.43333,0.02504,0.01283,1.13252,4.05105,0.83591,0.000116291,0.000116291,0.000116291
9,10.4555,1.2416,3.473,0.97693,0.01385,0.25,0.03404,0.01842,1.10574,4.04654,0.83421,0.000130394,0.000130394,0.000130394
10,11.3698,1.30526,3.35456,1.01856,0.02049,0.28333,0.05401,0.02628,1.15936,4.03943,0.83684,0.000144168,0.000144168,0.000144168
11,12.1592,1.28154,3.23136,0.94218,0.01833,0.5,0.05864,0.03105,1.22208,4.0499,0.8357,0.000157612,0.000157612,0.000157612
12,13.0814,1.22473,2.92288,0.93424,0.01495,0.6,0.05558,0.02862,1.22328,4.04015,0.84404,0.000170726,0.000170726,0.000170726
13,13.9094,1.24072,2.94191,1.00389,0.01344,0.61667,0.07184,0.03719,1.23454,4.03703,0.85352,0.00018351,0.00018351,0.00018351
14,14.769,1.26203,2.81689,0.99703,0.01211,0.61667,0.07037,0.03742,1.24314,4.02856,0.8716,0.000195964,0.000195964,0.000195964
15,15.6619,1.26138,2.68326,0.98538,0.01053,0.61667,0.08782,0.04164,1.24502,3.98945,0.88773,0.000208088,0.000208088,0.000208088
16,17.0695,1.31985,2.72848,0.98938,0.00875,0.4,0.08974,0.04274,1.209,3.93423,0.87788,0.000219883,0.000219883,0.000219883
17,18.1119,1.26495,2.49053,0.97668,0.00989,0.6,0.10984,0.05294,1.22215,3.87082,0.86923,0.000231347,0.000231347,0.000231347
18,18.9943,1.27345,2.55374,0.97235,0.00959,0.6,0.11388,0.05354,1.29346,3.81711,0.87373,0.000242482,0.000242482,0.000242482
19,20.0174,1.23841,2.09582,0.95217,0.00992,0.61667,0.11706,0.05366,1.28087,3.77372,0.8825,0.000253287,0.000253287,0.000253287
20,21.317,1.43311,2.44178,1.09778,0.01119,0.63333,0.13186,0.06262,1.27765,3.76777,0.89556,0.000263762,0.000263762,0.000263762
21,22.6602,1.27596,2.16043,0.95281,0.01089,0.63333,0.13391,0.07041,1.31916,3.72173,0.90181,0.000273907,0.000273907,0.000273907
22,23.9616,1.14502,1.87939,0.98513,0.01129,0.63333,0.12871,0.06796,1.31482,3.68046,0.90263,0.000283722,0.000283722,0.000283722
23,25.001,1.23394,2.01934,0.95823,0.0106,0.61667,0.12126,0.06679,1.29658,3.68778,0.90101,0.000293208,0.000293208,0.000293208
24,26.1958,1.18994,1.86206,0.99458,0.01197,0.63333,0.11957,0.05888,1.2524,3.66636,0.87916,0.000302363,0.000302363,0.000302363
25,27.4619,1.20081,1.83303,0.95232,0.01376,0.65,0.12213,0.0542,1.25345,3.62686,0.87431,0.000311189,0.000311189,0.000311189
26,28.7556,1.20511,1.84458,0.97674,0.0117,0.61667,0.11689,0.05823,1.28029,3.59199,0.87454,0.000319685,0.000319685,0.000319685
27,30.0749,1.1813,2.01125,0.91798,0.01173,0.61667,0.11695,0.05647,1.3231,3.54063,0.87263,0.00032785,0.00032785,0.00032785
28,31.3417,1.15423,1.74837,0.94934,0.01173,0.61667,0.11695,0.05647,1.3231,3.54063,0.87263,0.000335687,0.000335687,0.000335687
